,Rating,Company Name,Headquarters,Size,Founded,Type of ownership,Sector,Revenue,Location_State,Cleaned Job Title,Predicted Min Salary,Predicted Max Salary,Predicted Avg Salary
65,3.6,Cambridge Trust Company,MA,201 to 500 employees,1890.0,Company - Public,Finance,$50 to $100 million (USD),MA,Data Engineer,133.78938,112.28413,129.0738
66,3.7,Zylotech,MA,1 to 50 employees,2014.0,Company - Private,Information Technology,Unknown / Non-Applicable,MA,Data Engineer,126.19624,105.85215,125.172295
67,3.6,Redapt,WA,201 to 500 employees,1996.0,Company - Private,Information Technology,$100 to $500 million (USD),WA,Other Analyst,134.06828,110.30418,128.05634
68,4.7,Northpointe Bank,MI,501 to 1000 employees,1999.0,Company - Private,Finance,Unknown / Non-Applicable,MI,Other Analyst,133.63074,112.29722,122.86277
69,3.770932754880694,Seen by Indeed,TX,Unknown,1996.0,Company - Private,Unknown,Unknown / Non-Applicable,PA,Data Scientist,138.6968,111.06664,124.53225
70,4.0,Peterson Technology Partners,IL,201 to 500 employees,1997.0,Contract,Information Technology,$25 to $50 million (USD),IL,Data Scientist,138.6968,111.06664,124.53225
71,3.770932754880694,PM2CM,CA,1 to 50 employees,1996.0,Private Practice / Firm,"Oil, Gas, Energy & Utilities",Unknown / Non-Applicable,CA,Data Analyst,138.6968,111.06664,124.53225
72,4.5,NuWave Solutions,VA,51 to 200 employees,1999.0,Company - Private,Information Technology,$5 to $10 million (USD),Virginia,Data Engineer,137.083,112.29722,122.86277
73,4.1,Apellis Pharmaceuticals,MA,201 to 500 employees,2008.0,Company - Public,Biotech & Pharmaceuticals,Unknown / Non-Applicable,CA,Other Scientist,125.55986,107.162056,122.232124
74,5.0,Aptonet Inc,GA,201 to 500 employees,2004.0,Company - Private,Information Technology,Unknown / Non-Applicable,GA,Other Scientist,133.63074,113.147316,121.89745
75,5.0,Freedman Healthcare,MA,1 to 50 employees,2005.0,Company - Private,Business Services,$1 to $5 million (USD),MA,Data Analyst,133.63074,108.39262,121.89745
76,3.6,Randstad,GA,1001 to 5000 employees,1996.0,Subsidiary or Business Segment,Business Services,Unknown / Non-Applicable,CA,Data Scientist,134.06828,110.30418,128.05634
77,4.2,CyberCoders,CA,201 to 500 employees,1999.0,Subsidiary or Business Segment,Business Services,$100 to $500 million (USD),VA,Data Scientist,138.6968,111.06664,124.53225
78,4.3,McCarthy Building Co,MO,1001 to 5000 employees,1864.0,Company - Private,"Construction, Repair & Maintenance",$2 to $5 billion (USD),MO,Other Analyst,138.64903,110.701256,124.09292
79,4.0,SciPlay,IA,201 to 500 employees,1998.0,Company - Public,Media,Unknown / Non-Applicable,TX,Data Engineer,138.6968,111.06664,124.53225
80,3.8,BioMarin Pharmaceutical,CA,1001 to 5000 employees,1997.0,Company - Public,Biotech & Pharmaceuticals,$500 million to $1 billion (USD),CA,Other Analyst,138.6968,111.06664,124.53225
81,3.6,GovTech,Singapore,1001 to 5000 employees,2016.0,Government,Government,Unknown / Non-Applicable,CA,Data Scientist,122.32892,105.08968,122.86414
82,4.2,The Church of Jesus Christ of Latter-day Saints,UT,10000+ employees,1996.0,Nonprofit Organization,Non-Profit,Unknown / Non-Applicable,UT,Data Engineer,138.6968,111.06664,124.53225
83,4.4,OSI Engineering,CA,51 to 200 employees,2010.0,Company - Private,Business Services,$25 to $50 million (USD),CA,Data Analyst,124.58244,107.08271,117.670555
84,3.770932754880694,Monte Rosa Therapeutics,Unknown,Unknown,1996.0,Unknown,Unknown,Unknown,MA,Other Scientist,138.6968,111.06664,124.53225
85,4.4,OSI Engineering,CA,51 to 200 employees,2010.0,Company - Private,Business Services,$25 to $50 million (USD),CA,Data Scientist,124.58244,107.08271,117.670555
86,4.2,Octane,NY,51 to 200 employees,2014.0,Company - Private,Finance,Unknown / Non-Applicable,TX,Data Engineer,126.19624,105.85215,122.232124
87,4.6,Greenwich Biosciences,CA,201 to 500 employees,2013.0,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Unknown / Non-Applicable,CA,Other Scientist,121.89137,107.08271,117.670555
88,3.3,FrankCrum Staffing,FL,51 to 200 employees,1981.0,Company - Private,Business Services,$5 to $10 million (USD),FL,Manager/Director,135.12361,113.81786,123.020515
89,3.770932754880694,Decode_M,NY,1 to 50 employees,1996.0,Unknown,Unknown,Unknown / Non-Applicable,NY,Manager/Director,138.6968,111.06664,124.53225
90,4.5,GSN Games,MA,201 to 500 employees,1999.0,Company - Private,Media,Unknown / Non-Applicable,CA,Data Scientist,137.083,112.29722,122.86277
91,4.1,Redstream Technology,NY,1 to 50 employees,2007.0,Company - Private,Information Technology,$5 to $10 million (USD),GA,Data Engineer,125.55986,107.162056,122.232124
92,3.1,"Qualifacts Systems, Inc.",TN,201 to 500 employees,2002.0,Company - Private,Information Technology,$25 to $50 million (USD),TN,Other Analyst,135.12361,114.66798,124.50938
93,3.7,CALIBRE Systems,VA,501 to 1000 employees,1989.0,Company - Private,Information Technology,$100 to $500 million (USD),VA,Other Analyst,138.6968,111.06664,124.53225
94,2.7,Sterling National Bank,NY,1001 to 5000 employees,1966.0,Company - Public,Finance,$10+ billion (USD),NY,Manager/Director,135.12361,113.81786,123.020515
95,3.8,Novartis,Switzerland,10000+ employees,1996.0,Company - Public,Biotech & Pharmaceuticals,$10+ billion (USD),MA,Data Scientist,138.6968,111.06664,124.53225
96,4.1,Amount,IL,201 to 500 employees,2015.0,Company - Private,Information Technology,Unknown / Non-Applicable,IL,Data Scientist,126.19624,105.85215,122.232124
97,4.1,NJF Global Holdings,United Kingdom,51 to 200 employees,2003.0,Company - Private,Business Services,$10 to $25 million (USD),NY,Data Engineer,138.6968,111.916756,123.56693
98,5.0,Alector,CA,51 to 200 employees,2013.0,Company - Public,Biotech & Pharmaceuticals,Unknown / Non-Applicable,CA,Manager/Director,121.89137,107.08271,117.670555
99,4.2,The Church of Jesus Christ of Latter-day Saints,UT,10000+ employees,1996.0,Nonprofit Organization,Non-Profit,Unknown / Non-Applicable,UT,Data Engineer,138.6968,111.06664,124.53225
100,3.8,Novartis,Switzerland,10000+ employees,1996.0,Company - Public,Biotech & Pharmaceuticals,$10+ billion (USD),MA,Data Scientist,138.6968,111.06664,124.53225
101,2.9,Pharmavite,CA,1001 to 5000 employees,1971.0,Company - Private,Manufacturing,$1 to $2 billion (USD),CA,Other Scientist,135.12361,113.81786,123.020515
102,4.8,IGNW,OR,201 to 500 employees,2015.0,Company - Private,Information Technology,$25 to $50 million (USD),TX,Data Engineer,121.89137,107.08271,117.670555
103,4.6,"SmartNews, Inc.",CA,51 to 200 employees,2012.0,Company - Private,Information Technology,Unknown / Non-Applicable,CA,ML Engineer,121.89137,107.08271,117.670555
104,4.3,h2o.ai,CA,201 to 500 employees,2011.0,Company - Private,Information Technology,Unknown / Non-Applicable,NY,ML Engineer,124.58244,105.85215,122.232124
105,4.2,Octane,NY,51 to 200 employees,2014.0,Company - Private,Finance,Unknown / Non-Applicable,NY,Data Engineer,126.19624,105.85215,122.232124
106,4.8,Health Union,PA,51 to 200 employees,2009.0,Company - Private,Media,Unknown / Non-Applicable,PA,Manager/Director,121.89137,107.08271,117.670555
107,3.6,Shine Systems,VA,51 to 200 employees,2008.0,Company - Private,Business Services,Unknown / Non-Applicable,VA,Other Scientist,121.69252,106.39959,122.86414
108,4.0,"Meridian Technologies, Inc",MI,Unknown,1996.0,Unknown,Unknown,Unknown / Non-Applicable,WA,Data Engineer,138.6968,111.06664,124.53225
109,3.4,Orange Coast Memorial Medical Center,CA,10000+ employees,2005.0,Nonprofit Organization,Health Care,$2 to $5 billion (USD),CA,Other Scientist,135.12361,106.39959,127.09101
110,4.7,"Collinwood Technology Partners, LLC",IL,51 to 200 employees,2014.0,Company - Private,Information Technology,$1 to $5 million (USD),IL,Data Engineer,121.89137,107.08271,117.670555
111,4.4,"Homology Medicines, Inc.",MA,51 to 200 employees,1996.0,Company - Public,Unknown,Unknown / Non-Applicable,MA,Other Scientist,137.083,112.29722,122.86277
112,3.7,FHLBank Pittsburgh,PA,201 to 500 employees,1932.0,Company - Private,Finance,$1 to $2 billion (USD),PA,Data Analyst,140.54173,111.06664,124.53225
113,3.7,Sanofi,France,10000+ employees,1973.0,Company - Public,Biotech & Pharmaceuticals,$10+ billion (USD),MA,Manager/Director,140.54173,111.06664,124.53225
114,2.6,Software Engineering Institute,PA,501 to 1000 employees,1984.0,College / University,Education,Unknown / Non-Applicable,PA,Other Scientist,135.12361,113.81786,123.020515
115,4.1,Apellis Pharmaceuticals,MA,201 to 500 employees,2008.0,Company - Public,Biotech & Pharmaceuticals,Unknown / Non-Applicable,MA,Other Scientist,125.55986,107.162056,122.232124
116,3.770932754880694,OneThree Biotech,NY,1 to 50 employees,1996.0,Unknown,Unknown,Unknown / Non-Applicable,NY,Data Engineer,138.6968,111.06664,124.53225
