,Rating,Company Name,Headquarters,Size,Founded,Type of ownership,Sector,Revenue,Location_State,Cleaned Job Title,Predicted Min Salary,Predicted Max Salary,Predicted Avg Salary
154,4.3,h2o.ai,CA,201 to 500 employees,2011.0,Company - Private,Information Technology,Unknown / Non-Applicable,NY,ML Engineer,124.58244,105.85215,122.232124
155,4.2,Octane,NY,51 to 200 employees,2014.0,Company - Private,Finance,Unknown / Non-Applicable,NY,Data Engineer,126.19624,105.85215,122.232124
156,4.8,Health Union,PA,51 to 200 employees,2009.0,Company - Private,Media,Unknown / Non-Applicable,PA,Manager/Director,121.89137,107.08271,117.670555
157,3.6,Shine Systems,VA,51 to 200 employees,2008.0,Company - Private,Business Services,Unknown / Non-Applicable,VA,Other Scientist,121.69252,106.39959,122.86414
158,3.5,PACT Pharma,CA,51 to 200 employees,2016.0,Company - Private,Biotech & Pharmaceuticals,Unknown / Non-Applicable,CA,Other Scientist,122.32892,105.08968,122.86414
159,4.7,Job Juncture,TX,1001 to 5000 employees,1992.0,Company - Private,Business Services,Less than $1 million (USD),MA,ML Engineer,133.63074,112.29722,122.86277
160,3.4,Orange Coast Memorial Medical Center,CA,10000+ employees,2005.0,Nonprofit Organization,Health Care,$2 to $5 billion (USD),CA,Other Scientist,135.12361,106.39959,127.09101
161,4.0,"Meridian Technologies, Inc",MI,Unknown,1996.0,Unknown,Unknown,Unknown / Non-Applicable,WA,Data Engineer,138.6968,111.06664,124.53225
162,4.5,Blue Owl,CA,51 to 200 employees,2016.0,Company - Private,Information Technology,Unknown / Non-Applicable,CA,Data Scientist,124.58244,107.08271,117.670555
163,4.4,"Volume Integration, LLC",VA,51 to 200 employees,2013.0,Company - Private,Aerospace & Defense,$10 to $25 million (USD),VA,Data Scientist,124.58244,107.08271,117.670555
164,4.7,"Collinwood Technology Partners, LLC",IL,51 to 200 employees,2014.0,Company - Private,Information Technology,$1 to $5 million (USD),IL,Data Engineer,121.89137,107.08271,117.670555
165,3.7,FHLBank Pittsburgh,PA,201 to 500 employees,1932.0,Company - Private,Finance,$1 to $2 billion (USD),PA,Data Analyst,140.54173,111.06664,124.53225
166,4.4,"Homology Medicines, Inc.",MA,51 to 200 employees,1996.0,Company - Public,Unknown,Unknown / Non-Applicable,MA,Other Scientist,137.083,112.29722,122.86277
167,3.7,Sanofi,France,10000+ employees,1973.0,Company - Public,Biotech & Pharmaceuticals,$10+ billion (USD),MA,Manager/Director,140.54173,111.06664,124.53225
168,3.8,Novartis,Switzerland,10000+ employees,1996.0,Company - Public,Biotech & Pharmaceuticals,$10+ billion (USD),MA,Data Scientist,138.6968,111.06664,124.53225
169,2.6,Software Engineering Institute,PA,501 to 1000 employees,1984.0,College / University,Education,Unknown / Non-Applicable,PA,Other Scientist,135.12361,113.81786,123.020515
170,4.1,Apellis Pharmaceuticals,MA,201 to 500 employees,2008.0,Company - Public,Biotech & Pharmaceuticals,Unknown / Non-Applicable,MA,Other Scientist,125.55986,107.162056,122.232124
171,4.9,Avlino,NJ,1 to 50 employees,2013.0,Company - Private,Information Technology,Less than $1 million (USD),New Jersey,Data Scientist,121.89137,107.08271,117.670555
172,3.770932754880694,OneThree Biotech,NY,1 to 50 employees,1996.0,Unknown,Unknown,Unknown / Non-Applicable,NY,Data Engineer,138.6968,111.06664,124.53225
173,3.2,Macy's,NY,10000+ employees,1858.0,Company - Public,Retail,$10+ billion (USD),GA,Manager/Director,134.84474,113.45248,122.581184
174,4.4,SafeGraph,CA,1 to 50 employees,2016.0,Company - Private,Information Technology,$10 to $25 million (USD),NY,Manager/Director,124.58244,107.08271,117.670555
175,5.0,Senti Biosciences,CA,51 to 200 employees,2016.0,Company - Private,Biotech & Pharmaceuticals,Unknown / Non-Applicable,CA,Other Scientist,121.89137,107.08271,117.670555
176,3.8,Oportun. Inc,CA,1001 to 5000 employees,2005.0,Company - Public,Finance,Unknown / Non-Applicable,Maryland,Manager/Director,138.6968,107.162056,123.56693
177,4.1,Apellis Pharmaceuticals,MA,201 to 500 employees,2008.0,Company - Public,Biotech & Pharmaceuticals,Unknown / Non-Applicable,MA,Other Scientist,125.55986,107.162056,122.232124
178,3.770932754880694,WeRide.ai,Unknown,Unknown,1996.0,Unknown,Unknown,Unknown,CA,Data Scientist,138.6968,111.06664,124.53225
179,4.6,Greenwich Biosciences,CA,201 to 500 employees,2013.0,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Unknown / Non-Applicable,CA,Other Scientist,121.89137,107.08271,117.670555
180,3.3,FrankCrum Staffing,FL,51 to 200 employees,1981.0,Company - Private,Business Services,$5 to $10 million (USD),FL,Manager/Director,135.12361,113.81786,123.020515
181,3.770932754880694,ODSC Hiring Partner,Unknown,Unknown,1996.0,Unknown,Unknown,Unknown,NY,Data Scientist,138.6968,111.06664,124.53225
182,4.0,Two95 International Inc.,NJ,1 to 50 employees,1996.0,Company - Private,Business Services,$1 to $5 million (USD),IL,Data Scientist,138.6968,111.06664,124.53225
183,3.770932754880694,Decode_M,NY,1 to 50 employees,1996.0,Unknown,Unknown,Unknown / Non-Applicable,NY,Manager/Director,138.6968,111.06664,124.53225
184,4.4,Vbeyond Corporation,NJ,201 to 500 employees,2006.0,Company - Private,Business Services,$5 to $10 million (USD),WA,Data Scientist,124.16191,108.39262,117.670555
